No.,Ticker,IPO Date
202,KCHV,7/21/2025
203,WTG,7/21/2025
204,PASW,7/18/2025
205,AUGO,7/16/2025
206,KMRK,7/16/2025
207,MGRT,7/16/2025
208,BMHL,7/11/2025
209,GLIBA,7/11/2025
210,GLIBK,7/11/2025
211,OYSE,7/11/2025
212,PCAP,7/11/2025
213,DLXY,7/9/2025
214,ANPA,7/8/2025
215,MSGY,7/8/2025
216,TLIH,7/8/2025
217,CCCX,7/7/2025
218,WENN,7/7/2025
219,CV,7/2/2025
220,GRAN,7/2/2025
221,TVAI,7/2/2025
222,AEBI,7/1/2025
223,EGHA,6/30/2025
224,WW,6/30/2025
225,CAEP,6/26/2025
226,JCAP,6/26/2025
227,JLHL,6/26/2025
228,FMFC,6/25/2025
229,RAL,6/25/2025
230,CGCT,6/24/2025
231,HCHL,6/24/2025
232,XRPN,6/24/2025
233,AMRZ,6/23/2025
234,CRAQ,6/23/2025
235,GTEN,6/23/2025
236,LCCC,6/23/2025
237,RDAG,6/23/2025
238,CHPG,6/20/2025
239,PMTR,6/20/2025
240,CAI,6/18/2025
241,EGG,6/18/2025
242,SLDE,6/18/2025
243,MENS,6/17/2025
244,IPCX,6/16/2025
245,NPAC,6/16/2025
246,AIRO,6/13/2025
247,JBS,6/13/2025
248,CHYM,6/12/2025
249,IPOD,6/12/2025
250,OTF,6/12/2025
251,PELI,6/12/2025
252,VNTG,6/12/2025
253,ASIC,6/11/2025
254,VOYG,6/11/2025
255,BRR,6/9/2025
256,JEM,6/9/2025
257,RTAC,6/9/2025
258,SDHI,6/9/2025
259,TGE,6/9/2025
260,OMDA,6/6/2025
261,CRCL,6/5/2025
262,TACO,6/5/2025
263,COPL,6/2/2025
264,DAAQ,6/2/2025
265,RAAQ,6/2/2025
266,TACH,6/2/2025
267,UYSC,5/27/2025
268,FTRK,5/23/2025
269,SOUL,5/23/2025
270,SZZL,5/23/2025
271,HNGE,5/22/2025
272,MNTN,5/22/2025
273,OFAL,5/21/2025
274,CHAC,5/19/2025
275,TVA,5/16/2025
276,ARAI,5/15/2025
277,ANTA,5/14/2025
278,ETOR,5/14/2025
279,OMSE,5/13/2025
280,GSHR,5/12/2025
281,QSEA,5/12/2025
282,APUS,5/9/2025
283,AHL,5/8/2025
284,AII,5/8/2025
285,STRZ,5/7/2025
286,CEPT,5/2/2025
287,WSBK,5/2/2025
288,CMDB,5/1/2025
289,YB,4/30/2025
290,PHOE,4/25/2025
291,CIGL,4/22/2025
292,PFAI,4/22/2025
293,FERA,4/21/2025
294,LOKV,4/21/2025
295,RAC,4/21/2025
296,TMDE,4/21/2025
297,CHA,4/17/2025
298,EDHL,4/17/2025
299,NHIC,4/17/2025
300,HXHX,4/15/2025
301,RBNE,4/11/2025
302,ATHR,4/10/2025
303,CUPR,4/10/2025
304,IOTR,4/10/2025
305,MB,4/10/2025
306,FATN,4/8/2025
307,RYET,4/8/2025
308,AACB,4/7/2025
309,BLIV,4/4/2025
310,ATII,4/3/2025
311,LHSW,4/3/2025
312,SMA,4/2/2025
313,SORA,4/2/2025
314,ENGS,4/1/2025
315,WTF,4/1/2025
316,WXM,4/1/2025
317,NMAX,3/31/2025
318,CRWV,3/28/2025
319,NCT,3/28/2025
320,WFF,3/27/2025
321,EPSM,3/26/2025
322,NTHI,3/26/2025
323,LGPS,3/25/2025
324,SVCC,3/24/2025
325,BIYA,3/21/2025
326,RCT,3/21/2025
327,COLA,3/17/2025
328,KFII,3/13/2025
329,MWYN,3/13/2025
330,EHLD,3/11/2025
331,IPEX,3/7/2025
332,MCRP,3/7/2025
333,RIBB,3/7/2025
334,SAGT,3/7/2025
335,ADVB,3/6/2025
336,JFB,3/6/2025
337,KMTS,3/6/2025
338,TBH,3/6/2025
339,PN,3/4/2025
340,LUD,2/27/2025
341,LZMH,2/27/2025
342,WETO,2/27/2025
343,BMGL,2/26/2025
344,STAK,2/26/2025
345,DMAA,2/25/2025
346,WGRX,2/21/2025
347,RHLD,2/20/2025
348,VRM,2/20/2025
349,NNNN,2/19/2025
350,NPB,2/14/2025
351,AARD,2/13/2025
352,KRMN,2/13/2025
353,SAIL,2/13/2025
354,SNDK,2/13/2025
355,TDAC,2/13/2025
356,XHLD,2/13/2025
357,AGH,2/12/2025
358,FGMC,2/11/2025
359,SION,2/7/2025
360,TTAM,2/7/2025
361,EPWK,2/6/2025
362,FBGL,2/6/2025
363,HVII,2/6/2025
364,CJMB,2/5/2025
365,HCAI,2/5/2025
366,HSPT,2/5/2025
367,MRP,2/5/2025
368,PLUT,2/5/2025
369,DRDB,2/3/2025
370,MLAC,2/3/2025
371,INR,1/31/2025
372,MAZE,1/31/2025
373,PLMK,1/31/2025
374,BBNX,1/30/2025
375,CSAI,1/30/2025
376,JACS,1/30/2025
377,PGAC,1/28/2025
378,SFD,1/28/2025
379,TWNP,1/28/2025
380,AAPG,1/27/2025
381,VG,1/24/2025
382,SKBL,1/23/2025
383,DGNX,1/22/2025
384,DXST,1/22/2025
385,TJGC,1/22/2025
386,TOPP,1/22/2025
387,FLOC,1/16/2025
388,NOEM,1/16/2025
389,PCLA,1/16/2025
390,HKPD,1/15/2025
391,UFG,1/14/2025
392,RANG,1/13/2025
393,MIMI,1/10/2025
394,MASK,1/8/2025
395,CEPO,1/7/2025
396,ZYBT,1/7/2025
397,ASPC,1/3/2025
398,INLF,1/2/2025
399,RAIN,1/2/2025
400,ONEG,12/31/2024
401,WLAC,12/30/2024
402,BYAH,12/27/2024
403,NTWO,12/27/2024
404,HIT,12/23/2024
405,FACT,12/20/2024
406,TAVI,12/20/2024
407,YAAS,12/20/2024
408,LSE,12/19/2024
409,NCEW,12/18/2024
410,YSXT,12/18/2024
411,BEAG,12/16/2024
412,OACC,12/16/2024
413,ALDF,12/13/2024
414,AVR,12/13/2024
415,NTCL,12/13/2024
416,TTAN,12/12/2024
417,ETHM,12/9/2024
